id,isp_name,is_oversea
334,Datagroup,1
335,Sprious,1
336,T72,1
337,meerfarbig,1
338,creoline,1
339,Gamma,1
340,Digi,1
341,ER-Telecom,1
342,Ertelecom,1
343,E-Plus,1
344,IPV,1
345,SecuredServers,1
346,ITL,1
347,GCoreLabs,1
348,ViaSat,1
349,TTK,1
350,UKServers,1
351,Hetzner,1
352,IBM Cloud,1
353,MOD,1
354,Plusnet,1
355,Liquid,1
356,Webzilla,1
357,Turkcell,1
358,Aspire,1
359,SBB,1
360,ATT,1
361,Syn,1
362,Telenet,1
363,BeeUnion,1
364,DU,1
365,SungardAS,1
366,Omantel,1
367,Beeline,1
368,ITLDC,1
369,GTS,1
370,HostEurope,1
371,OVH,1
372,Baxet,1
373,Aeza,1
374,Blizzard,0
375,Melbikomas,1
376,TrafficForce,1
377,BlueVPS,1
378,Telemach,1
379,Aptum,1
380,GIRN,1
381,TurkTelekom,1
382,Bredband2,1
383,Nano,1
384,Avast,1
385,Yandex,1
386,BouyguesTelecom,1
387,PODA,1
388,A1,1
389,Invitech,1
390,Moldtelecom,1
391,Lanet,1
392,Netia,1
393,Avantel,1
394,Eutelsat,1
395,Continent8,1
396,UK2,1
397,REG,1
398,iomart,1
399,Node4,1
400,BT,1
401,YemenNet,1
402,DigitalOcean,1
403,BlazingSEO,1
404,Edgio,1
405,WSTelecom,1
406,myLoc,1
407,Cox,1
408,Zare,1
409,DES Capital,1
410,QuadraNet,1
411,Latitude,1
412,GSL,1
413,Artnet,1
414,Grain,1
415,LibertyGlobal,1
416,Internet Vikings,1
417,MTS,1
418,Cosmote,1
419,Smart Telecom,1
420,IRIDEOS,1
421,Bahnhof,1
422,Glide,1
423,LyseKonsern,1
424,中国电信国际,0
425,Unitas Global,1
426,Web Werks,1
427,Orion,1
428,Play,1
429,TISparkle,1
430,GleSYS,1
431,Magticom,1
432,Enzu,1
433,Nubes,1
434,TheGigabit,1
435,ISTQSERVERS,1
436,Nyatwork,1
437,Code200,1
438,Vultr,1
439,Flynet,1
440,FiberHub,1
441,奥飞数据,0
442,COLT,1
443,VIVID,1
444,SpectraIP,1
445,鼎峰新汇,0
446,Psychz,1
447,GoRack,1
448,Xtom,0
449,ThinkHuge,1
450,KoDDoS,1
451,ColoCrossing,1
452,GlobalLayer,1
453,GCore,1
454,Ithostline,1
455,KCOM,1
456,FreePro,1
457,Renater,1
458,IDStrategy,1
459,Akari,1
460,Wowrack,1
461,HostPapa,1
462,Tele2,1
463,Kyivstar,1
464,Wifire,1
465,IONOS,1
466,Wave,1
467,Bell,1
468,SdtNet,1
469,VSYSHost,1
470,AkileCloud,1
471,Expereo,1
472,Claranet,1
473,Voxility,1
474,IstanbulDC,1
475,Satellite,1
476,DoDNIC,1
477,Headquarters,1
478,Crown Castle,1
479,ACN,1
480,Cisco,1
481,GoogleDNS,1
482,Iron,1
483,Quotemedia,1
484,Paxio,1
485,Bandcon,1
486,ComodoDNS,1
487,NVIDIA,1
488,Zscaler,1
489,Google Cloud,1
490,Netskope,1
491,eBay,1
492,Converge ICT,1
493,Edgeuno,1
494,Quad9DNS,1
495,Quad9,1
496,BankAmerica,1
497,Dell,1
498,Samsung,1
499,高通,1
500,BNY Mellon,1
501,Verizon,1
502,Salesforce,1
503,HITC,1
504,CDNetworks,1
505,CSL,0
506,Dedicated,1
507,SpaceX,1
508,Cloudie,0
509,安云,0
510,Cyber,1
511,YTL,1
512,TPG,1
513,iiNet,1
514,Asahi,1
515,百度,0
516,WorldPhone,1
517,IPServerOne,1
518,IaxnTelecom,1
519,Hosteons,1
520,字节跳动,0
521,火山引擎,0
522,Meteverse,1
523,ServeNet,1
524,FreeBit,1
525,CTC,1
526,iPrimus,1
527,Yahoo,1
528,DLive,1
529,NKN,1
530,VNPT,1
531,五五电讯,1
532,GTPL,1
533,LightCloud,0
534,信盈恒泰,0
535,Fariya,1
536,INCableInternet,1
537,JPNIC,1
538,HP,1
539,Hewlett,1
540,HPE,1
541,DXC,1
542,Cray,1
543,Charter,1
544,Apple,1
545,麻省理工学院,1
546,Ford,1
547,Comcast,1
548,Nearoute,1
549,Oracle,1
550,BreezeHost,1
551,Infatica,1
552,EGIHosting,1
553,Frontier,1
554,HostUniversal,1
555,Evoxt,1
556,WOW,1
557,Astound,1
558,GorillaServers,1
559,Telkomsel,1
560,Proximus,1
561,Servers,1
562,Cluster,1
563,AfghanWireless,1
564,ServerHub,1
565,UnifiedLayer,1
566,Cogeco,1
567,优刻得,0
568,迅达云,1
569,TekSavvy,1
570,CableOne,1
571,Distributel,1
572,Linode,1
573,SingleHop,1
574,UnitasGlobal,1
575,Sonic,1
576,OneProvider,1
577,IT7,1
578,WholeSale,1
579,Uniti,1
580,WhiteSky,1
581,Limestone,1
582,HostUS,1
583,天空数位,1
584,北卡罗来纳大学教堂山分校,1
585,hkgo,1
586,FirstLight,1
587,PoloCloud,1
588,Pulse,1
589,Misaka,1
590,SpartanHost,1
591,Atomic,1
592,VolumeDrive,1
